[Epoch 1] started
[Epoch 1] Step 2630/10587 | Loss: 0.1070 | ETA: 02:28:09
[Epoch 1] Step 2640/10587 | Loss: 0.0434 | ETA: 02:27:56
[Epoch 1] Step 2650/10587 | Loss: 0.0785 | ETA: 02:27:44
[Epoch 1] Step 2660/10587 | Loss: 0.0567 | ETA: 02:27:31
[Epoch 1] Step 2670/10587 | Loss: 0.0489 | ETA: 02:27:19
[Epoch 1] Step 2680/10587 | Loss: 0.0686 | ETA: 02:27:06
[Epoch 1] Step 2690/10587 | Loss: 0.0723 | ETA: 02:26:54
[Epoch 1] Step 2700/10587 | Loss: 0.1277 | ETA: 02:26:44
[Epoch 1] Step 2710/10587 | Loss: 0.0421 | ETA: 02:26:32
[Epoch 1] Step 2720/10587 | Loss: 0.0842 | ETA: 02:26:19
[Epoch 1] Step 2730/10587 | Loss: 0.1307 | ETA: 02:26:07
[Epoch 1] Step 2740/10587 | Loss: 0.0375 | ETA: 02:25:54
[Epoch 1] Step 2750/10587 | Loss: 0.0449 | ETA: 02:25:42
[Epoch 1] Step 2760/10587 | Loss: 0.0591 | ETA: 02:25:32
[Epoch 1] Step 2770/10587 | Loss: 0.0448 | ETA: 02:25:19
[Epoch 1] Step 2780/10587 | Loss: 0.0477 | ETA: 02:25:07
[Epoch 1] Step 2790/10587 | Loss: 0.0683 | ETA: 02:24:55
[Epoch 1] Step 2800/10587 | Loss: 0.1263 | ETA: 02:24:45
[Epoch 1] Step 2810/10587 | Loss: 0.1189 | ETA: 02:24:34
[Epoch 1] Step 2820/10587 | Loss: 0.1049 | ETA: 02:24:24
[Epoch 1] Step 2830/10587 | Loss: 0.0839 | ETA: 02:24:12
[Epoch 1] Step 2840/10587 | Loss: 0.0945 | ETA: 02:23:58
[Epoch 1] Step 2850/10587 | Loss: 0.0694 | ETA: 02:23:47
[Epoch 1] Step 2860/10587 | Loss: 0.0623 | ETA: 02:23:36
[Epoch 1] Step 2870/10587 | Loss: 0.0673 | ETA: 02:23:24
[Epoch 1] Step 2880/10587 | Loss: 0.2081 | ETA: 02:23:13
[Epoch 1] Step 2890/10587 | Loss: 0.1326 | ETA: 02:23:06
[Epoch 1] Step 2900/10587 | Loss: 0.1114 | ETA: 02:22:54
[Epoch 1] Step 2910/10587 | Loss: 0.6782 | ETA: 02:22:42
[Epoch 1] Step 2920/10587 | Loss: 0.0952 | ETA: 02:22:31
[Epoch 1] Step 2930/10587 | Loss: 0.0952 | ETA: 02:22:19
[Epoch 1] Step 2940/10587 | Loss: 0.0633 | ETA: 02:22:05
[Epoch 1] Step 2950/10587 | Loss: 0.0556 | ETA: 02:21:53
[Epoch 1] Step 2960/10587 | Loss: 0.0608 | ETA: 02:21:39
[Epoch 1] Step 2970/10587 | Loss: 0.0674 | ETA: 02:21:29
[Epoch 1] Step 2980/10587 | Loss: 0.0916 | ETA: 02:21:19
[Epoch 1] Step 2990/10587 | Loss: 0.0836 | ETA: 02:21:09
[Epoch 1] Step 3000/10587 | Loss: 0.0588 | ETA: 02:20:59
[Step Save] checkpoints/detector/detector_epoch_1_step_3000.pth
[Epoch 1] Step 3010/10587 | Loss: 0.0904 | ETA: 02:20:47
[Epoch 1] Step 3020/10587 | Loss: 0.0844 | ETA: 02:20:34
[Epoch 1] Step 3030/10587 | Loss: 0.1949 | ETA: 02:20:22
[Epoch 1] Step 3040/10587 | Loss: 0.0644 | ETA: 02:20:11
[Epoch 1] Step 3050/10587 | Loss: 0.0839 | ETA: 02:20:00
[Epoch 1] Step 3060/10587 | Loss: 0.0779 | ETA: 02:19:51
[Epoch 1] Step 3070/10587 | Loss: 0.0692 | ETA: 02:19:40
[Epoch 1] Step 3080/10587 | Loss: 0.0383 | ETA: 02:19:30
[Epoch 1] Step 3090/10587 | Loss: 0.0337 | ETA: 02:19:18
[Epoch 1] Step 3100/10587 | Loss: 0.0462 | ETA: 02:19:06
[Epoch 1] Step 3110/10587 | Loss: 0.0926 | ETA: 02:18:56
[Epoch 1] Step 3120/10587 | Loss: 0.1040 | ETA: 02:18:44
[Epoch 1] Step 3130/10587 | Loss: 0.0589 | ETA: 02:18:31
[Epoch 1] Step 3140/10587 | Loss: 0.0635 | ETA: 02:18:19
[Epoch 1] Step 3150/10587 | Loss: 0.1723 | ETA: 02:18:08
[Epoch 1] Step 3160/10587 | Loss: 0.1080 | ETA: 02:17:57
[Epoch 1] Step 3170/10587 | Loss: 0.0437 | ETA: 02:17:47
[Epoch 1] Step 3180/10587 | Loss: 0.0920 | ETA: 02:17:37
[Epoch 1] Step 3190/10587 | Loss: 0.0849 | ETA: 02:17:24
[Epoch 1] Step 3200/10587 | Loss: 0.0623 | ETA: 02:17:11
[Epoch 1] Step 3210/10587 | Loss: 0.1373 | ETA: 02:16:59
[Epoch 1] Step 3220/10587 | Loss: 0.0475 | ETA: 02:16:47
[Epoch 1] Step 3230/10587 | Loss: 0.0565 | ETA: 02:16:34
[Epoch 1] Step 3240/10587 | Loss: 0.0740 | ETA: 02:16:25
[Epoch 1] Step 3250/10587 | Loss: 0.1081 | ETA: 02:16:14
[Epoch 1] Step 3260/10587 | Loss: 0.0548 | ETA: 02:16:04
[Epoch 1] Step 3270/10587 | Loss: 0.0781 | ETA: 02:15:52
[Epoch 1] Step 3280/10587 | Loss: 0.0394 | ETA: 02:15:41
[Epoch 1] Step 3290/10587 | Loss: 0.0961 | ETA: 02:15:29
[Epoch 1] Step 3300/10587 | Loss: 0.0612 | ETA: 02:15:18
[Epoch 1] Step 3310/10587 | Loss: 0.0677 | ETA: 02:15:07
[Epoch 1] Step 3320/10587 | Loss: 0.0867 | ETA: 02:14:55
[Epoch 1] Step 3330/10587 | Loss: 0.0834 | ETA: 02:14:44
[Epoch 1] Step 3340/10587 | Loss: 0.0688 | ETA: 02:14:31
[Epoch 1] Step 3350/10587 | Loss: 0.0777 | ETA: 02:14:20
[Epoch 1] Step 3360/10587 | Loss: 0.0794 | ETA: 02:14:09
[Epoch 1] Step 3370/10587 | Loss: 0.0323 | ETA: 02:13:57
[Epoch 1] Step 3380/10587 | Loss: 0.0707 | ETA: 02:13:45
[Epoch 1] Step 3390/10587 | Loss: 0.0802 | ETA: 02:13:32
[Epoch 1] Step 3400/10587 | Loss: 0.1020 | ETA: 02:13:19
[Epoch 1] Step 3410/10587 | Loss: 0.0544 | ETA: 02:13:07
[Epoch 1] Step 3420/10587 | Loss: 0.2736 | ETA: 02:12:56
[Epoch 1] Step 3430/10587 | Loss: 0.0611 | ETA: 02:12:45
[Epoch 1] Step 3440/10587 | Loss: 0.1831 | ETA: 02:12:34
[Epoch 1] Step 3450/10587 | Loss: 0.1490 | ETA: 02:12:22
[Epoch 1] Step 3460/10587 | Loss: 0.1025 | ETA: 02:12:09
[Epoch 1] Step 3470/10587 | Loss: 0.0498 | ETA: 02:11:58
[Epoch 1] Step 3480/10587 | Loss: 0.1093 | ETA: 02:11:47
